SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
374,MISSION 4 W,133,26.22,98.4,58.8,62.6,69.8,75.4,81.1,84.7,86.3,86.4,82.8,75.8,67.5,60,74.3
375,MONAHANS,2660,31.58,102.88,43.3,49.1,57.2,65.1,74.2,81.5,83.3,81.9,75.1,65.4,52.8,44.6,64.5
380,MORTON,3760,33.72,102.77,37.8,42.2,49.5,57.6,67.1,75.3,77.8,75.7,69.2,59.3,47.4,39.2,58.2
381,MOUNT LOCKE,6790,30.67,104.52,43.7,46.8,52.1,58.7,66.5,72.2,71.8,70.1,66.3,60,50.9,44.8,58.7
382,MOUNT PLEASANT,425,33.17,95,41.8,46.2,54.2,61.8,70.4,78.3,82.2,81.6,74.8,63.7,52.7,44.5,62.7
384,MUENSTER,1005,33.65,97.38,42.8,48,55.5,63,71,78.4,82.5,81.9,75.3,64.9,53.9,45.7,63.6
385,MULESHOE 1,3825,34.23,102.73,36,40.6,47.5,55.9,65.3,74.1,77.2,75.3,68.4,57.4,45,37.1,56.7
386,MULESHOE NATL WDLF REF,3740,33.95,102.78,37.3,41.8,48.6,56.9,66.5,75.3,77.8,76.1,69.2,58.9,46.9,38.4,57.8
388,MUNDAY,1480,33.45,99.62,41.5,46.3,54.3,63.6,72.1,80.1,83.9,82.7,75.2,64.8,52.5,43.7,63.4
389,NACOGDOCHES,435,31.62,94.65,46.5,50.8,58.5,65.4,73.8,80.3,83.9,83.6,77.7,67.3,56.4,48.8,66.1
390,NAVARRO MILLS DAM,454,31.95,96.7,44.2,49.2,57.1,64.6,72.7,79.8,83.8,83.6,77.2,66.9,55.5,46.7,65.1
394,NEW BRAUNFELS,710,29.73,98.12,48.6,52.8,60.2,66.4,73.9,79.8,82.7,82.6,77.8,68.6,58.5,50.8,66.9
396,NEW GULF,72,29.27,95.9,52.5,55.9,62.4,68.3,75.1,80.5,82.7,82.6,78.9,71,62.3,54.7,68.9
400,NIXON,400,29.27,97.75,50.5,54.2,61.2,68,74.9,80.3,83,83.2,78.7,70.1,60,52.6,68.1
406,O C FISHER DAM,1964,31.47,100.48,43.6,48.7,56.5,64.5,72.7,78.9,82.4,81.2,74.4,65,53.3,45.4,63.9
408,OLNEY,1195,33.37,98.77,43.2,48.4,56.5,64.4,72.4,79.9,84.3,83.7,76.4,66.2,53.8,45.2,64.5
410,OLTON,3610,34.18,102.13,36.3,40.6,48.2,56.6,65.8,73.9,76.8,74.8,68.3,58.2,46.1,37.8,57
411,ORANGE,10,30.08,93.73,50.3,53.4,60.1,66.5,74.1,79.5,81.6,81.6,77.2,68.4,59.3,52.2,67
412,ORANGE 9 N,18,30.23,93.73,49.8,53.4,60.2,66.2,73.6,79.1,81.6,81.2,76.9,68,58.6,52.1,66.7
414,OZONA 1 SSW,2340,30.68,101.2,43.3,48,55.9,63.9,72.3,78,80.5,79.6,73.8,64,52.7,44.5,63
415,PADUCAH,1900,34.02,100.3,39.5,44.5,52.6,61.4,70.1,78.4,83.1,81.6,73.8,63.1,50.5,41.5,61.7
417,PAINT ROCK,1625,31.5,99.92,46.6,51.6,59.4,67.2,75.1,80.9,84.1,83.2,76.6,67.5,55.9,47.9,66.3
